commit_hash,date,author,file_path,lines_added,lines_deleted,churn,is_bug_fix,commit_message
6979265,2021-04-06T09:35:10-07:00,pgjones,setup.py,4,1,5,0,"Add `async` support

This allows for async functions to be passed to the Flask class
instance, for e"
6979265,2021-04-06T09:35:10-07:00,pgjones,src/flask/app.py,3,3,6,0,"Add `async` support

This allows for async functions to be passed to the Flask class
instance, for e"
6979265,2021-04-06T09:35:10-07:00,pgjones,src/flask/helpers.py,41,0,41,0,"Add `async` support

This allows for async functions to be passed to the Flask class
instance, for e"
6979265,2021-04-06T09:35:10-07:00,pgjones,src/flask/scaffold.py,20,5,25,0,"Add `async` support

This allows for async functions to be passed to the Flask class
instance, for e"
6979265,2021-04-06T09:35:10-07:00,pgjones,tests/test_async.py,33,0,33,0,"Add `async` support

This allows for async functions to be passed to the Flask class
instance, for e"
3dfc12e,2021-03-10T10:51:06-08:00,David Lord,src/flask/blueprints.py,44,49,93,0,only extend on first registration
ef52e3e,2021-03-10T10:38:17-08:00,David Lord,src/flask/scaffold.py,2,11,13,1,remove redundant _register_error_handler
25ab05e,2021-03-10T10:38:16-08:00,David Lord,src/flask/app.py,0,6,6,1,remove old note about InternalServerError
7029674,2021-03-10T10:38:16-08:00,David Lord,src/flask/app.py,3,69,72,0,rewrite Scaffold docs
7029674,2021-03-10T10:38:16-08:00,David Lord,src/flask/blueprints.py,4,19,23,0,rewrite Scaffold docs
7029674,2021-03-10T10:38:16-08:00,David Lord,src/flask/scaffold.py,201,81,282,0,rewrite Scaffold docs
9f7c602,2021-03-10T10:38:13-08:00,David Lord,src/flask/app.py,1,4,5,0,move _PackageBoundObject into Scaffold
9f7c602,2021-03-10T10:38:13-08:00,David Lord,src/flask/helpers.py,0,303,303,0,move _PackageBoundObject into Scaffold
9f7c602,2021-03-10T10:38:13-08:00,David Lord,src/flask/scaffold.py,343,46,389,0,move _PackageBoundObject into Scaffold
33145c3,2021-03-10T21:40:29+08:00,Grey Li,src/flask/cli.py,5,2,7,1,Set default encoding to UTF-8 for load_dotenv
33145c3,2021-03-10T21:40:29+08:00,Grey Li,tests/test_cli.py,3,2,5,1,Set default encoding to UTF-8 for load_dotenv
83d358d,2021-03-08T09:58:12-08:00,pgjones,src/flask/app.py,5,6,11,0,"remove _blueprint_order, dicts are ordered

This code originates from supporting Python 2.4. Dicts a"
fd62210,2021-03-08T09:58:12-08:00,pgjones,src/flask/app.py,6,6,12,1,"Utilise defaultdicts

This code originates from the Python 2.4 supporting version of Flask,
with def"
fd62210,2021-03-08T09:58:12-08:00,pgjones,src/flask/blueprints.py,1,1,2,1,"Utilise defaultdicts

This code originates from the Python 2.4 supporting version of Flask,
with def"
fd62210,2021-03-08T09:58:12-08:00,pgjones,src/flask/scaffold.py,16,14,30,1,"Utilise defaultdicts

This code originates from the Python 2.4 supporting version of Flask,
with def"
705e526,2021-03-08T08:55:14-08:00,pgjones,src/flask/scaffold.py,41,0,41,0,"Add syntatic sugar for route registration

This takes a popular API whereby instead of passing the H"
705e526,2021-03-08T08:55:14-08:00,pgjones,tests/test_basic.py,17,0,17,0,"Add syntatic sugar for route registration

This takes a popular API whereby instead of passing the H"
49b7341,2021-02-25T09:45:55-08:00,Grey Li,src/flask/json/__init__.py,1,4,5,0,update json.dumps for http_date changes
49b7341,2021-02-25T09:45:55-08:00,Grey Li,tests/test_json.py,9,12,21,0,update json.dumps for http_date changes
49b7341,2021-02-25T09:45:55-08:00,Grey Li,tests/test_json_tag.py,2,1,3,0,update json.dumps for http_date changes
0c7cbe2,2021-02-24T10:09:50-08:00,David Lord,setup.py,0,6,6,0,move version to setup.cfg
3cd615a,2021-02-24T10:09:15-08:00,David Lord,docs/conf.py,5,3,8,0,update project links
0ee1b0b,2021-02-08T18:04:02-08:00,David Lord,tests/test_regression.py,0,54,54,0,remove test relying on Werkzeug Local internals
b473e7c,2021-02-01T22:48:09-08:00,David Lord,src/flask/app.py,1,1,2,0,use Jinja's tojson filter
b473e7c,2021-02-01T22:48:09-08:00,David Lord,src/flask/json/__init__.py,10,16,26,0,use Jinja's tojson filter
b473e7c,2021-02-01T22:48:09-08:00,David Lord,tests/test_json.py,10,17,27,0,use Jinja's tojson filter
0162148,2021-02-01T20:41:17-08:00,Matthew Preble,src/flask/ctx.py,3,3,6,0,Ensure session_interface.open_session is called after URL matching (#3776)
0162148,2021-02-01T20:41:17-08:00,Matthew Preble,tests/test_session_interface.py,22,0,22,0,Ensure session_interface.open_session is called after URL matching (#3776)
81ba6c2,2021-02-01T19:14:58-08:00,David Lord,src/flask/app.py,1,1,2,0,remove Jinja 'autoescape' and 'with' extensions
055cdc2,2021-01-29T11:29:36-08:00,David Lord,src/flask/__main__.py,1,1,2,0,click detects program name when run as module
055cdc2,2021-01-29T11:29:36-08:00,David Lord,src/flask/cli.py,3,3,6,0,click detects program name when run as module
